# Name                     RAdeg             DEdeg               Memb Disk Acc K2var   umag   gmag   rmag   imag   Hamag  SpT   Avmag                Lbol                Mstar               Rstar              logAge             logMacc             DlogMacc+ DlogMacc-
  EPIC224290871            270.95104         -24.51086           ?    y*   0   QPS     18.482 16.545 15.175 14.487 14.93  K8.25 0.037                2.35                0.53                3.233              5.43               ""                  ""        ""       
  EPIC224297601            271.098           -24.49869           y    n*   0   P       20.081 17.856 16.416 15.734 16.064 K7    0.467                0.912               0.752               1.865              6.17               ""                  ""        ""       
  EPIC224305947            271.11033         -24.48339           y    y    0   QPD     19.435 17.058 15.492 14.774 15.163 K7.25 1.147                3.928               0.605               3.93               5.15               ""                  ""        ""       
  EPIC224308921            271.094           -24.47806           y    y*   1   QPS     16.312 15.104 14.478 14.16  14.347 F5.25 1.019                4.872               1.377               1.734              7.14               -8.284              0.259     ""       
  EPIC224311070            270.96517         -24.47403           y    y    1   APD     16.885 15.4   14.494 14.069 14.171 G6    1.113                5.305               1.931               2.509              6.57               -8.082              0.225     0.719    
  EPIC224311432            271.16433         -24.47342           ?    n    1   N       15.811 14.593 13.926 13.638 13.665 G4.5  0.336                4.717               1.802               2.301              6.69               -8.268              0.457     0.277    
  EPIC224311447            271.19917         -24.47333           y    n    0   MP      11.564 11.274 11.262 11.259 11.214 A1.5  0.365                79.544              2.761               3.511              6.42               ""                  ""        ""       
  EPIC224312151            271.08483         -24.47208           y    n    2   QPS     17.759 15.708 14.364 13.768 13.905 K7    0.247                5.114               0.634               4.417              ""                 -7.402              0.194     0.163    
  EPIC224313065            271.171           -24.47042           ?    n    1   N       15.5   14.39  13.908 13.725 13.772 G1.25 0.217                4.459               1.612               2.1                6.86               -8.097              0.161     0.166    
  EPIC224314197            270.85804         -24.46833           y    n    0   P       18.33  16.428 15.399 14.991 15.184 K3.5  0.31                 1.555               1.228               1.942              6.37               ""                  ""        ""       
  EPIC224314265            271.14338         -24.46825           y    n    0   MP      12.514 11.996 11.929 11.869 11.865 B8.75 1.077                103.811             2.919               2.857              6.43               ""                  ""        ""       
  EPIC224314764            271.08654         -24.46739           y    y    2   P       17.903 16.13  14.56  13.835 13.835 K7.25 1.026                8.281               0.633               5.706              ""                 -6.585              0.138     0.147    
  EPIC224316080            271.08642         -24.46494           y    n    1   QPS     16.018 14.764 14.079 13.751 13.894 F8.75 0.853                6.089               1.616               2.246              6.9                -8.036              0.174     0.314    
  EPIC224316091            271.18975         -24.46481           ?    n    1   N       18.786 17.278 15.975 15.343 15.366 K6.5  0.434                1.306               0.759               2.161              5.99               -8.195              0.285     0.253    
